품목,나라,규제시작일자,규제종료일자
480990,DE,20201020.0,20251021.0
480990,CZ,20201020.0,20251021.0
390690,FR,20220406.0,20270406.0
390690,FI,20220406.0,20270406.0
390690,ES,20220406.0,20270406.0
390690,DK,20220406.0,20270406.0
390690,DE,20220406.0,20270406.0
390690,CZ,20220406.0,20270406.0
390690,BG,20220406.0,20270406.0
390690,BE,20220406.0,20270406.0
390690,AT,20220406.0,20270406.0
480990,FR,20170504.0,20280315.0
720810,US,20210805.0,20260804.0
720825,US,20210805.0,20260804.0
720826,US,20210805.0,20260804.0
720827,US,20210805.0,20260804.0
720836,US,20210805.0,20260804.0
720837,US,20210805.0,20260804.0
720838,US,20210805.0,20260804.0
550320,US,20180816.0,20230816.0
740500,US,20220425.0,20270423.0
720839,US,20210805.0,20260804.0
720840,US,20210805.0,20260804.0
720853,US,20210805.0,20260804.0
721119,US,20210805.0,20260804.0
721190,US,20210805.0,20260804.0
720854,US,20210805.0,20260804.0
720890,US,20210805.0,20260804.0
721070,US,20210805.0,20260804.0
721090,US,20210805.0,20260804.0
721114,US,20210805.0,20260804.0
850423,US,20120831.0,20231015.0
850490,US,20120831.0,20231015.0
721240,US,20210805.0,20260804.0
721250,US,20210805.0,20260804.0
721491,US,20210805.0,20260804.0
721499,US,20210805.0,20260804.0
721590,US,20210805.0,20260804.0
722511,US,20210805.0,20260804.0
722519,US,20210805.0,20260804.0
722530,US,20210805.0,20260804.0
722540,US,20210805.0,20260804.0
722599,US,20210805.0,20260804.0
722611,US,20210805.0,20260804.0
722619,US,20210805.0,20260804.0
722691,US,20210805.0,20260804.0
722699,US,20210805.0,20260804.0
722860,US,20210805.0,20260804.0
291735,TR,20170331.0,20220331.0
830242,TR,20210327.0,20260327.0
830250,TR,20210327.0,20260327.0
830210,TR,20210327.0,20260327.0
850710,KW,20170625.0,20220624.0
850710,OM,20170625.0,20220624.0
850710,QA,20170625.0,20220624.0
850710,SA,20170625.0,20220624.0
720270,IN,,
280920,IN,20090622.0,20250820.0
902129,TR,20220414.0,20270413.0
721220,NZ,20230101.0,20270329.0
721090,NZ,20230101.0,20270329.0
721049,NZ,20230101.0,20270329.0
721061,NZ,20230101.0,20270329.0
721069,NZ,20230101.0,20270329.0
722699,NZ,20230101.0,20270329.0
721230,NZ,20230101.0,20270329.0
721250,NZ,20230101.0,20270329.0
721260,NZ,20230101.0,20270329.0
722511,NZ,20230101.0,20270329.0
722519,NZ,20230101.0,20270329.0
722530,NZ,20230101.0,20270329.0
722540,NZ,20230101.0,20270329.0
722550,NZ,20230101.0,20270329.0
722591,NZ,20230101.0,20270329.0
722592,NZ,20230101.0,20270329.0
722599,NZ,20230101.0,20270329.0
291732,EG,20211129.0,20261128.0
850710,AE,20170625.0,20220624.0
291732,AR,20181004.0,20231004.0
721250,US,20220401.0,20280214.0
721410,US,20220401.0,20280214.0
721430,US,20220401.0,20280214.0
721491,US,20220401.0,20280214.0
722511,US,20220401.0,20280214.0
722519,US,20220401.0,20280214.0
722540,US,20220401.0,20280214.0
722599,US,20220401.0,20280214.0
722611,US,20220401.0,20280214.0
722619,US,20220401.0,20280214.0
722620,US,20220401.0,20280214.0
722691,US,20220401.0,20280214.0
722699,US,20220401.0,20280214.0
721119,US,20220401.0,20280214.0
721190,US,20220401.0,20280214.0
721240,US,20220401.0,20280214.0
720840,US,20220401.0,20280214.0
720851,US,20220401.0,20280214.0
720852,US,20220401.0,20280214.0
720853,US,20220401.0,20280214.0
720890,US,20220401.0,20280214.0
721070,US,20220401.0,20280214.0
721090,US,20220401.0,20280214.0
721113,US,20220401.0,20280214.0
721114,US,20220401.0,20280214.0
721932,US,20171003.0,20221002.0
721932,US,20171003.0,20221003.0
730640,US,20220630.0,20270629.0
722020,US,20171003.0,20221003.0
722020,US,20171003.0,20221002.0
722090,US,20171003.0,20221003.0
722090,US,20171003.0,20221002.0
722012,US,20171003.0,20221003.0
721990,US,20171003.0,20221002.0
722012,US,20171003.0,20221002.0
721935,US,20171003.0,20221002.0
721935,US,20171003.0,20221003.0
721934,US,20171003.0,20221002.0
721934,US,20171003.0,20221003.0
721933,US,20171003.0,20221002.0
721933,US,20171003.0,20221003.0
721990,US,20171003.0,20221003.0
