나라,품목,예상 비중( 유사도 * 비중 / (유사도의 합) ) ,RCA,분자의 분자,분자의 분모,분모의 분자,분모의 분모,해당 나라 해당 품목 수입액,해당 나라 해당 품목 수출액,규제시작일자,규제종료일자
GA,330790,0.0001223721,5.65861138009704,611853643,681729790292,3644222471,22976267162433,695651,49,,
GA,870891,0.0001000567,0.2884485000017336,67400423,681729790292,7875199011,22976267162433,192864,0,,
GA,841381,5.92624e-05,0.5676002740315943,81348255,681729790292,4830285990,22976267162433,2405934,11830,,
GA,340290,4.39181e-05,0.6688650027513369,166011541,681729790292,8365020475,22976267162433,2588062,0,,
GA,640419,2.34021e-05,0.0884148225751643,74943187,681729790292,28567634332,22976267162433,308719,4839,,
GA,852349,1.63118e-05,2.3499950884172525,709249013,681729790292,10171827481,22976267162433,1384537,1856,,
GA,630790,8.8254e-06,0.3975990979452626,249202827,681729790292,21123932668,22976267162433,1050030,993,,
GA,650500,6.1892e-06,0.2259172049543975,59889706,681729790292,8934496335,22976267162433,78718,0,,
GA,902610,3.8442e-06,0.2531481003451741,55607638,681729790292,7403327741,22976267162433,1578534,21740,,
BO,870421,0.045798027,0.7150396379659002,1376773738,681729790292,64893269552,22976267162433,2872020,650156,,
BO,870422,0.018549457,0.2948618781309614,158391695,681729790292,18104268383,22976267162433,45186407,0,,
BO,850710,0.017359692,5.379102616048486,1801938738,681729790292,11290089708,22976267162433,20420791,3899089,,
BO,870380,0.011897946,2.38578671291216,8175751051,681729790292,115495016043,22976267162433,1078999,72641,,
BO,271019,0.006268108,2.624906146601006,46318725022,681729790292,594716539591,22976267162433,3037172374,11066,,
BO,870210,0.0057944,1.6572587828376055,457669787,681729790292,9307415765,22976267162433,11235410,0,,
BO,401110,0.003064745,1.5514097993072484,2218555583,681729790292,48195998677,22976267162433,84538273,0,,
BO,841510,0.00094925,1.633020968620997,538849889,681729790292,11120984531,22976267162433,14405044,0,,
BO,841590,0.000690152,0.9291728950658488,754239268,681729790292,27357714125,22976267162433,1555315,0,,
BO,841810,0.000509567,3.97472603991281,2183383108,681729790292,18513560352,22976267162433,29078221,0,,
BO,940330,0.000305793,0.1105283851076709,11646314,681729790292,3551255101,22976267162433,686590,388,,
BO,401220,0.000291679,0.4963750931516267,9045076,681729790292,614142905,22976267162433,9473863,0,,
BO,330510,0.000214966,0.8435935728224453,146183502,681729790292,5840261586,22976267162433,12035431,19004,,
BO,401699,0.000128909,0.5991950497513424,294314821,681729790292,16554311238,22976267162433,5666382,10095,,
BO,330790,0.000120027,5.65861138009704,611853643,681729790292,3644222471,22976267162433,2183876,22652,,
BO,845020,0.000105945,5.693789868121934,534113635,681729790292,3161545452,22976267162433,13410945,0,,
BO,870891,0.000100622,0.2884485000017336,67400423,681729790292,7875199011,22976267162433,3995171,230,,
BO,340130,7.76334e-05,1.387397905637303,248771488,681729790292,6043197245,22976267162433,2418451,0,,
BO,901832,6.18e-05,1.0987184595343238,136337455,681729790292,4182114913,22976267162433,508779,0,,
